recodage,2015,2016,2017,2018,2019,2020,2021,total
PREMIERE.FR,0.0,0.0,129569.0,0.0,0.0,0.0,0.0,129569.0
ROLLING STONE,72026.0,0.0,0.0,0.0,0.0,54589.0,0.0,126615.0
L'INDEPENDANT DU PAS DE CALAIS,29498.0,0.0,20545.0,20172.0,17854.0,18073.0,17909.0,124051.0
L’EST-ÉCLAIR,0.0,122797.0,0.0,0.0,0.0,0.0,0.0,122797.0
LATRIBUNE.FR,0.0,0.0,122513.0,0.0,0.0,0.0,0.0,122513.0
LE JOURNAL DE GIEN,19344.0,19374.0,17326.0,16430.0,16040.0,15850.0,17840.0,122204.0
LYON MAG,0.0,0.0,0.0,0.0,0.0,0.0,121438.0,121438.0
L'HOMME NOUVEAU,21153.0,22229.0,0.0,19539.0,20050.0,18262.0,16906.0,118139.0
LEGRANDCONTINENT.EU,0.0,0.0,0.0,0.0,50000.0,0.0,65934.0,115934.0
L'ECHO DU BERRY,14173.0,13402.0,12697.0,33775.0,12400.0,12633.0,13675.0,112755.0
DOCTEURIMAGO.FR,0.0,0.0,0.0,0.0,0.0,0.0,109540.0,109540.0
VOXEUROP.EU,0.0,0.0,0.0,40000.0,67727.0,0.0,0.0,107727.0
ENTRAID.COM,0.0,0.0,104046.0,0.0,0.0,0.0,0.0,104046.0
LA SEMAINE DE L'ALLIER,14796.0,13628.0,12935.0,33308.0,10705.0,7329.0,7840.0,100541.0
