Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
LA SEMAINE DES PYRENEES,6791.0,5743.0,3906.0,24764.0,6685.0,6937.0,6708.0,61534.0
L'INDICATEUR DES FLANDRES ET DE LA VALLEE DE LA LYS,10565.0,,13006.0,12651.0,11905.0,12756.0,,60883.0
TOPO,,50000.0,3551.0,7271.0,,,,60822.0
TRIBUNE DE LYON / Tribunedelyon.fr,,,,,,,60817.0,60817.0
culture.newstank.fr,44343.0,,,11104.0,4694.0,,,60141.0
LE PHARE DUNKERQUOIS,10368.0,9110.0,8561.0,7757.0,7613.0,7855.0,8551.0,59815.0
L'ANGERIEN LIBRE,3674.0,5276.0,23127.0,12497.0,4784.0,5044.0,5304.0,59706.0
LE PAYS BRIARD,3732.0,,2931.0,2811.0,2707.0,24968.0,22368.0,59517.0
REUSSIR LE PERIGORD,,16404.0,5658.0,5410.0,6707.0,4298.0,21026.0,59503.0
L'AXONAIS,,34578.0,4853.0,4977.0,4966.0,5000.0,5094.0,59468.0
POUR L'ECO,,,,,11166.0,26994.0,21103.0,59263.0
LA DEPECHE DE TAHITI,4460.0,,,,3690.0,47180.0,3578.0,58908.0
JUSTICE,,,,,,0.0,58696.0,58696.0
LA RUCHE,8944.0,9177.0,8110.0,7547.0,8556.0,8575.0,7714.0,58623.0
LE PHARE DE RE,9309.0,8763.0,8172.0,7927.0,7799.0,8286.0,8283.0,58539.0
LES AFFICHES DE LA HAUTE SAONE,5104.0,,4980.0,34771.0,4458.0,4443.0,4194.0,57950.0
TERRES ET TERRITOIRES / Terres-et-territoires.com,,,,,57627.0,,,57627.0
satellinet.fr,57499.0,,,,,,,57499.0
NOUVELLES ETINCELLES,,,,,,,57287.0,57287.0
zoomdici.fr,,,,,57273.0,,,57273.0
L'ORNE COMBATTANTE,10413.0,,9008.0,8946.0,8827.0,8599.0,11378.0,57171.0
handicap.fr,,,,,,,57023.0,57023.0
LA LOZERE NOUVELLE,9451.0,,,8154.0,7691.0,7704.0,23319.0,56319.0
lalettredelassurance.com,,24992.0,,,31155.0,,,56147.0
BULLETIN D'ESPALION,,,,3654.0,38499.0,6687.0,7128.0,55968.0
UNION & TERRITOIRES,,,,,55929.0,,,55929.0
BOUDU,,41000.0,2891.0,2825.0,2831.0,2913.0,3367.0,55827.0
LA VOIX DE L'AIN,10496.0,9861.0,,8278.0,8360.0,8644.0,9861.0,55500.0
LA GAZETTE DU CENTRE MORBIHAN,9605.0,8258.0,8870.0,8152.0,7168.0,6822.0,6405.0,55280.0
L'EVEIL DE PONT AUDEMER,8922.0,7429.0,7678.0,7914.0,7857.0,7304.0,7937.0,55041.0
LE PAYS MALOUIN,10225.0,,8758.0,8866.0,8892.0,8697.0,9156.0,54594.0
L'IMPARTIAL DES ANDELYS,10396.0,,9008.0,8964.0,8907.0,8846.0,8324.0,54445.0
COURRIER Français,,,,54111.0,,,,54111.0
cahiers-ophtalmologie.com,,,,54079.0,,,,54079.0
L'ACTION AGRICOLE PICARDE,,,,,,54044.0,,54044.0
acteursdufrancoallemand.com,,,,,,,53720.0,53720.0
HAUTE SAINTONGE,,10006.0,9075.0,8536.0,8296.0,8864.0,8886.0,53663.0
ALBERT,,36000.0,1500.0,7892.0,2384.0,5482.0,,53258.0
"Koï, koimagazine.fr",,,,,,,53148.0,53148.0
LE COURRIER DE LA MAYENNE / courrierdelamayenne.com,,,,,,53097.0,,53097.0
mytoc.fr,52885.0,,,,,,,52885.0
L'ECLAIREUR DU GATINAIS ET DU CENTRE,18253.0,18488.0,,,,16087.0,,52828.0
lejournaldesarts.fr,,,52729.0,,,,,52729.0
LA VOIX DES SPORTS,8965.0,9323.0,9001.0,8193.0,6386.0,5744.0,5067.0,52679.0
HAUT ANJOU,,14610.0,13123.0,12650.0,11925.0,,,52308.0
L'ESSOR SARLADAIS,6413.0,8713.0,7819.0,7635.0,7101.0,7173.0,7014.0,51868.0
FRANCE GUYANE,22641.0,20377.0,,,8772.0,,,51790.0
L'ESSOR AFFICHES,,,12921.0,12716.0,12576.0,13251.0,,51464.0
huffingtonpost.fr,,,,,,,51375.0,51375.0
LE REPUBLICAIN SUD GIRONDE,6853.0,6302.0,7071.0,7677.0,7944.0,7930.0,7392.0,51169.0
TAHITI INFOS / tahiti-infos.com,,,,,,0.0,50776.0,50776.0
LE PAYS D'AUGE,9808.0,,8031.0,8045.0,7922.0,7725.0,9238.0,50769.0
newstank.fr,,50699.0,,,,,,50699.0
actu.nc,,47000.0,3671.0,,,,,50671.0
L'EVEIL NORMAND,8278.0,6802.0,7094.0,7035.0,7022.0,7054.0,6878.0,50163.0
rdv-photos.com,,50000.0,,,,,,50000.0
lesglorieuses.fr,,,,50000.0,,,,50000.0
dicila.media,,,,,,50000.0,,50000.0
revusetcorriges.net,,,,,50000.0,,,50000.0
mobilitesmagazine.com,,,50000.0,,,,,50000.0
desoriental.fr,,,,,,50000.0,,50000.0
theconversation.fr,,50000.0,,,,,,50000.0
pocmedia.fr,,,,,,50000.0,,50000.0
ourscom.fr,,,,,,,50000.0,50000.0
planb-io.fr,,,,,,50000.0,,50000.0
thewomensvoices.fr,,,,,,,50000.0,50000.0
tipandshaft.com,,,,50000.0,,,,50000.0
climatico.fr,,,,,,50000.0,,50000.0
KOI,,,,,50000.0,,,50000.0
outside.fr,,,,,,50000.0,,50000.0
cyberbrief.net,,,,50000.0,,,,50000.0
oldyssey.org,,,,,,50000.0,,50000.0
bulletin.fr,,,,,,50000.0,,50000.0
lenouvelespritpublic.fr,,,,,50000.0,,,50000.0
stripfood.fr,,,,,,,50000.0,50000.0
afrik21.africa,,,,50000.0,,,,50000.0
if-saint-etienne.fr,,,,,,,50000.0,50000.0
k-larevue.com,,,,,,,50000.0,50000.0
laicites.info,,,50000.0,,,,,50000.0
lesclesdudigital.fr,,,,50000.0,,,,50000.0
POP STORY,,50000.0,,,,,,50000.0
fondamental-actu.fr,,,,,,50000.0,,50000.0
Actu Alité,,,,50000.0,,,,50000.0
ablock.fr,,,,,,50000.0,,50000.0
wow-news.eu,,,,,,50000.0,,50000.0
ACTEURS DU FRANCO-ALLEMAND / acteursdufrancoallemand.com,,,,,,50000.0,,50000.0
Agri-City.info,,,,,50000.0,,,50000.0
dis-leur.fr,,,,50000.0,,,,50000.0
BOUKAN LE COURRIER ULTRAMARIN,,,,,50000.0,0.0,,50000.0
afriquexxi.info,,,,,,,50000.0,50000.0
blast-info.fr,,,,,,,50000.0,50000.0
lejournaldugrandparis.fr,,50000.0,,,,,,50000.0
Mo News,,,,,,,50000.0,50000.0
tchika.fr,,,,,50000.0,,,50000.0
brainto.com,,,,,,,50000.0,50000.0
lequatreheures.com,,50000.0,,,,,,50000.0
LE PETIT JOURNAL,,,,,,49752.0,,49752.0
LE COURRIER DU PAYS DE RETZ,7938.0,6496.0,6849.0,7067.0,7183.0,7237.0,6797.0,49567.0
L'ORNE HEBDO,8319.0,6964.0,6940.0,7001.0,6984.0,6648.0,6626.0,49482.0
LES ECHOS DU TOUQUET,7675.0,7228.0,7055.0,6924.0,6403.0,6850.0,7304.0,49439.0
placegrenet.fr,,35000.0,,,14380.0,,,49380.0
L'OBSERVATEUR DE BEAUVAIS,8944.0,,6649.0,6360.0,9039.0,8910.0,8797.0,48699.0
LE SEMEUR HEBDO,7474.0,7520.0,7029.0,6502.0,6450.0,6663.0,7045.0,48683.0
LE RESISTANT,,,10182.0,9643.0,9392.0,9288.0,10107.0,48612.0
L'INDEPENDANT DU LOUHANNAIS ET DU JURA,5008.0,,9206.0,8509.0,8278.0,8912.0,8531.0,48444.0
agra.fr,,,,,,48368.0,,48368.0
ZADIG,,,,,,29607.0,18651.0,48258.0
CAUSEUR,,24315.0,23930.0,,,,,48245.0
LE PETIT JOURNAL - Tarn et Garonne,,,,,48092.0,,,48092.0
go-met.com,,,,,48030.0,,,48030.0
L'ACCENT BOURGUIGNON,,,48000.0,,,,,48000.0
L'ECHO DE L'ARMOR ET DE L'ARGOAT,8066.0,6504.0,6802.0,6901.0,6497.0,6370.0,6774.0,47914.0
PETIT JOURNAL - Toutes éditions,,,,,,,47876.0,47876.0
LE TARN LIBRE,9634.0,9484.0,8242.0,7682.0,,6722.0,5935.0,47699.0
LE PLOERMELAIS,8530.0,7405.0,7776.0,6852.0,6038.0,5697.0,5376.0,47674.0
LA MARNE,6750.0,,5890.0,5830.0,5678.0,12243.0,10859.0,47250.0
BIEN DIRE / biendire.com,,,,,,,46659.0,46659.0
LA DEPECHE DU BASSIN,7419.0,7182.0,6549.0,6217.0,6254.0,5963.0,7031.0,46615.0
LE REVEIL DE BERCK,7251.0,6840.0,6521.0,6339.0,6126.0,6545.0,6976.0,46598.0
COURRIER FRANCAIS / L'ECHO DE L'OUEST,,,,,,46587.0,,46587.0
aanda.org,,,,,46309.0,,,46309.0
streetpress.com,,,,,46062.0,,,46062.0
LA VIE NOUVELLE,,38560.0,3671.0,3654.0,,,,45885.0
Frequence-sud.fr,45005.0,,,,,,,45005.0
actuia.com,,,,,,,45000.0,45000.0
recyclage-recuperation.fr,,,,,44525.0,,,44525.0
cadredeville.com,,,44421.0,,,,,44421.0
NORD ÉCLAIR,,44164.0,,,,,,44164.0
LE PELICAN / lepelican-journal.com,,,,,,16658.0,27341.0,43999.0
L'ECHO DE L'OUEST - COURRIER Français,,,,,43946.0,,,43946.0
LE COURRIER VENDEEN,6639.0,5765.0,6063.0,6379.0,6190.0,6449.0,6072.0,43557.0
touslesjourscurieux.fr,,,30000.0,,13460.0,,,43460.0
le10sport.com,,,,43428.0,,,,43428.0
editions-rgra.fr,,,,43111.0,,,,43111.0
L'HEBDO DE CHARENTE MARITIME,4585.0,,22577.0,3654.0,3653.0,4514.0,4045.0,43028.0
CONNAISSANCE DES ARTS / connaissancedesarts.com,19944.0,,,,,,22882.0,42826.0
LE COURRIER FRANCAIS     -     Toutes éditions,,,42807.0,,,,,42807.0
LE PUBLICATEUR LIBRE,6741.0,5596.0,6187.0,6106.0,5937.0,5907.0,6299.0,42773.0
LA GAZETTE DE LA MANCHE,6568.0,5239.0,5206.0,5263.0,5310.0,7335.0,7695.0,42616.0
vitisphere.com,,,,17677.0,,,24721.0,42398.0
COURRIER FRANCAIS - toutes éditions,,,,,,,42198.0,42198.0
EXE / exemagazine.fr,42140.0,,,,,,,42140.0
EK - ECOLOGIK / ekmagazine.fr,42140.0,,,,,,,42140.0
themeta.news,,,,,,,42085.0,42085.0
CENTRE PRESSE VIENNE POITIERS,,42077.0,,,,,,42077.0
LA SEMAINE DU ROUSSILLON,5965.0,5928.0,5527.0,9110.0,4865.0,5159.0,5220.0,41774.0
LA PIEUVRE DU MIDI,,30000.0,,,3653.0,3827.0,4045.0,41525.0
esprit.presse.fr,,,41507.0,,,,,41507.0
CHRONIQUE REPUBLICAINE,,,,10543.0,10409.0,10328.0,10055.0,41335.0
LE COURRIER DE MANTES,5148.0,4243.0,4297.0,4067.0,3758.0,10045.0,9726.0,41284.0
consoglobe.com,,,41172.0,,,,,41172.0
L'HEBDOMADAIRE D'ARMOR,6777.0,6770.0,6008.0,5636.0,5238.0,5199.0,5541.0,41169.0
LE POHER / Lepoher.fr,,,,,41141.0,,,41141.0
VALEURS ACTUELLES,,,,,,,40980.0,40980.0
madamsport.fr,,,,10928.0,,30000.0,,40928.0
LE REVEIL NORMAND,8382.0,6721.0,6658.0,6519.0,6233.0,6175.0,,40688.0
LA PRESSE DE VESOUL,6365.0,9657.0,5406.0,5229.0,4711.0,4616.0,4688.0,40672.0
LA PRESSE D'ARMOR,6318.0,5369.0,5822.0,5772.0,5659.0,5603.0,5734.0,40277.0
LE REVEIL DE NEUFCHATEL,7836.0,,6442.0,6448.0,6326.0,6359.0,6858.0,40269.0
xrmust.com,,,,,,,40000.0,40000.0
mazette.media,,,,,,40000.0,,40000.0
flushmag.fr,,,,,,40000.0,,40000.0
unsighted.co,,,,40000.0,,,,40000.0
mediavinopro.fr,,,,,,40000.0,,40000.0
belleileendiagonales.bzh,,,,,,40000.0,,40000.0
horizondurable.info,,40000.0,,,,,,40000.0
leslettrespersanes.fr,,,,40000.0,,,,40000.0
jaipiscineavecsimone.com,,,,,,40000.0,,40000.0
WAHED MAGAZINE,,,40000.0,,,,,40000.0
informelles.media,,,,,,,40000.0,40000.0
linspiration-politique.fr,,,,,,,40000.0,40000.0
grand-format.net,,,,,,,40000.0,40000.0
accidentaleuropean.com,,,,,,40000.0,,40000.0
placeco.fr,,,,,,,40000.0,40000.0
pan-african-music.com,,,40000.0,,,,,40000.0
weekult.com,,,,,,40000.0,,40000.0
generationphd.fr,,,,40000.0,,,,40000.0
frictions.co,,,,,,,40000.0,40000.0
briefstory.io,,,,,,40000.0,,40000.0
8e-etage.fr,,40000.0,,,,,,40000.0
lvsl.fr,,,,,40000.0,,,40000.0
culotcreative.com,,,,,,40000.0,,40000.0
7joursaclermont.fr,,,,,40000.0,,,40000.0
censoredmagazine.bigcartel.com/newsletter,,,,,,40000.0,,40000.0
medialot.fr,,,,40000.0,,,,40000.0
vivant-le-media.fr,,,,,,40000.0,,40000.0
dzairworld.com,,,,,,40000.0,,40000.0
cafecremesport.com,,,,,,,40000.0,40000.0
devizu.news,,,,,,40000.0,,40000.0
lepoulpe.info,,,,,40000.0,,,40000.0
aerospatium.info,,40000.0,,,,,,40000.0
cfactuel.fr,,40000.0,,,,,,40000.0
larrierecour.fr,,,,,,40000.0,,40000.0
erebmedia.com,,,,,,40000.0,,40000.0
revueladeferlante.fr,,,,,,,40000.0,40000.0
enlargeyourparis.fr,,40000.0,,,,,,40000.0
regain-magazine.com,,,,40000.0,,,,40000.0
lapartducolibri.fr,,,,40000.0,,,,40000.0
lemediapresse.fr,,,,40000.0,,,,40000.0
culsdepoule.fr,,,,,,,40000.0,40000.0
VENDEE AGRICOLE / vendee-agricole.fr,,,,,,39954.0,,39954.0
LE COURRIER DU LOIRET,5792.0,5610.0,5097.0,5982.0,5885.0,5997.0,5515.0,39878.0
weblex.fr,8915.0,,,,,,30815.0,39730.0
LE QUOTIDIEN DE LA REUNION,,39674.0,,,,,,39674.0
LA SEMAINE DES ARDENNES,5754.0,5738.0,5730.0,5378.0,5296.0,5633.0,5993.0,39522.0
LA RENAISSANCE LOCHOISE,3674.0,13767.0,4428.0,4300.0,4201.0,3827.0,4729.0,38926.0
LA PRESSE PONTISSALIENNE,,2127.0,8695.0,7700.0,7091.0,6871.0,6149.0,38633.0
L'ELEPHANT,,,,,,19554.0,19031.0,38585.0
HAUT ANJOU / actu.fr/haut-anjou,,,,,,38299.0,,38299.0
LE PETIT JOURNAL – Toutes éditions,,38176.0,,,,,,38176.0
LE PAYSAN TARNAIS / paysanstarnais.com,,,,,,,38128.0,38128.0
Sante-et-travail.fr,,,38088.0,,,,,38088.0
LE DEMOCRATE INDEPENDANT,6218.0,6675.0,,5978.0,5786.0,6269.0,6738.0,37664.0
LE PETIT QUOTIDIEN,,9051.0,9306.0,,,9471.0,9815.0,37643.0
leconcoursmedical.fr,,,,,,37585.0,,37585.0
LE PETIT JOURNAL - Tarn et Garonne / Ariège…,37467.0,,,,,,,37467.0
LE JOURNAL DE VITRE,7078.0,,5997.0,6137.0,5876.0,5778.0,6042.0,36908.0
LE JOURNAL DE L'ORNE,6250.0,5341.0,5336.0,5168.0,4988.0,4796.0,4772.0,36651.0
lassmat.fr,,,,36469.0,,,,36469.0
L’AISNE NOUVELLE,,36155.0,,,,,,36155.0
musique-journal.fr,,,,,,36000.0,,36000.0
GEROSCOPIE,,,,35781.0,,,,35781.0
greenunivers.com,,22866.0,,,,12851.0,,35717.0
LE JOURNAL D'ABBEVILLE,6069.0,4853.0,4839.0,4870.0,4708.0,4683.0,5174.0,35196.0
VIE NOUVELLE,34676.0,,,,,,,34676.0
"Le Sillon, Lesillon.info",,,,,34562.0,,,34562.0
TECHNIQUES SCIENCES METHODES,,,,34482.0,,,,34482.0
LA GAZETTE ARIEGEOISE,5028.0,5152.0,4851.0,4735.0,4681.0,4827.0,5011.0,34285.0
L'AMI DES FOYERS CHRETIENS HEBDO,,,,,,9997.0,24037.0,34034.0
LE COURRIER DE FOURMIES,6939.0,5864.0,5150.0,4685.0,5588.0,5759.0,,33985.0
LE CHATILLONNAIS ET L'AUXOIS,4962.0,5132.0,4839.0,4672.0,4578.0,4787.0,4988.0,33958.0
L'ECLAIREUR DU GATINAIS,,,17401.0,16487.0,,,,33888.0
LA RENAISSANCE LE BESSIN,4264.0,3899.0,3384.0,5563.0,5247.0,5372.0,6087.0,33816.0
info-economique.com,,33419.0,,,,,,33419.0
TRIBUNE DE LYON / tribunedelyon.fr,,,,,,33302.0,,33302.0
LE PAYS ROANNAIS / LE PAYS D’ENTRE LOIRE ET RHONE,,33020.0,,,,,,33020.0
LA CHRONIQUE REPUBLICAINE,12336.0,10111.0,10278.0,,,,,32725.0
GRAND EST MAGAZINE,,,8540.0,9953.0,5791.0,4821.0,3367.0,32472.0
lalettreA.fr,,,32399.0,,,,,32399.0
Intelligenceonline.fr/.com,,,32399.0,,,,,32399.0
africanintelligence.fr/.com,,,32399.0,,,,,32399.0
L'OPINION INDEPENDANTE,4501.0,4750.0,4542.0,4466.0,4472.0,4712.0,4955.0,32398.0
LE PAYS ROANNAIS / PAYS D ENTRE LOIRE ET RHONE,32235.0,,,,,,,32235.0
LA VOIX DE LA HAUTE MARNE,4750.0,4882.0,4569.0,4421.0,4282.0,4442.0,4759.0,32105.0
letangue.re,,,,,,32000.0,,32000.0
LA VOIX DU MIDI,,,7248.0,7713.0,8121.0,8643.0,,31725.0
"La Profession Comptable, Laprofessioncomptable.com",,,,,31557.0,,,31557.0
LE REVEIL DU MIDI,4458.0,4659.0,,,4299.0,4617.0,13462.0,31495.0
investissementconseils.com,,,,,,31474.0,,31474.0
LA DEPECHE D'EVREUX,,,,10711.0,10395.0,10250.0,,31356.0
union-paysanne.com,,,,,,,31287.0,31287.0
the-drone.com,,31212.0,,,,,,31212.0
HAUTE GIRONDE,,,6057.0,6011.0,6108.0,6056.0,6973.0,31205.0
loeildelaphotographie.com,30959.0,,,,,,,30959.0
fluidestransmission.com,,,,,,,30902.0,30902.0
bscnews.fr,,,,30604.0,,,,30604.0
HERRIA,3674.0,4801.0,4451.0,4317.0,4241.0,4433.0,4648.0,30565.0
L'AMI DU PEUPLE HEBDO,,,10698.0,10099.0,9715.0,,,30512.0
L'ESSOR BIGOURDAN,4140.0,4506.0,4292.0,4228.0,4203.0,4434.0,4684.0,30487.0
MON QUOTIDIEN,,7760.0,,,7572.0,7685.0,7450.0,30467.0
LA VOIX DU JURA,5159.0,4088.0,4226.0,4265.0,4297.0,4318.0,3990.0,30343.0
LE MEMORIAL DE L'ISERE,5022.0,5003.0,4413.0,4191.0,3680.0,3827.0,4045.0,30181.0
ECHO D'ILE DE FRANCE,,,,30101.0,,,,30101.0
lefilrouge.media,,,30000.0,,,,,30000.0
Paris Lights Up,,,,,30000.0,,,30000.0
lebec.media,,,,,,,30000.0,30000.0
tremolo-mag.com,,,,,,30000.0,,30000.0
long courrier - newsletter,,,,,,30000.0,,30000.0
blacknews.fr,,,,,,30000.0,,30000.0
lokko.fr,,,,,,30000.0,,30000.0
ovanation.fr,,,,,,30000.0,,30000.0
cameditsport.com,,,30000.0,,,,,30000.0
ekopo.fr,,30000.0,,,,,,30000.0
artisixmic.fr,,30000.0,,,,,,30000.0
presse-evasion.fr,,,,30000.0,,,,30000.0
ledoc-info.com,,,,30000.0,,,,30000.0
lautrequotidien.fr,,,30000.0,,,,,30000.0
beaview.fr,,,,30000.0,,,,30000.0
lesdreamers.org,,,,,,,30000.0,30000.0
valgirardin.fr,,,,30000.0,,,,30000.0
lalterego.fr,,,30000.0,,,,,30000.0
sportbusiness.club,,,,,,30000.0,,30000.0
ledrenche.fr,,30000.0,,,,,,30000.0
lejournalminimal.fr,,,,30000.0,,,,30000.0
hajde.fr,,,,,30000.0,,,30000.0
revuekoko.com,,,,,,30000.0,,30000.0
sans-filtre.fr,,,,,,30000.0,,30000.0
Visible,,,,,,,30000.0,30000.0
miroirslibres.com,,,,,,,30000.0,30000.0
techtrash.fr,,,,,,30000.0,,30000.0
mediacoop.fr,,,,30000.0,,,,30000.0
kitmedia.weelz.fr,,,,,,,30000.0,30000.0
territoires-audacieux.fr,,,,,,30000.0,,30000.0
pagesdeslibraires.fr,,29623.0,,,,,,29623.0
LA REPUBLIQUE DE SEINE ET MARNE / larepublique77.fr,,29536.0,,,,,,29536.0
LE POHER,5830.0,5736.0,,6195.0,,5800.0,5927.0,29488.0
SILENCE,,10396.0,9290.0,9491.0,,,,29177.0
LE JOURNAL D'ICI TARN ET LAURAGAIS,,,6294.0,,6298.0,6579.0,9927.0,29098.0
LA MAURIENNE,3674.0,3866.0,4402.0,4314.0,4274.0,4480.0,4045.0,29055.0
LA TRIBUNE DE LYON,3674.0,3866.0,16091.0,5411.0,,,,29042.0
kineactu.com,,,29015.0,,,,,29015.0
SPORT STRATEGIES HEBDO / sportstrategies.com,28965.0,,,,,,,28965.0
sortiesdesecours.com,,,,,28800.0,,,28800.0
macommune.info,,,28785.0,,,,,28785.0
Agri 72 / Reussir-agri72.fr,,,,,28751.0,,,28751.0
LA GAZETTE DU COMMINGES,,4651.0,4360.0,4138.0,5112.0,5031.0,5440.0,28732.0
LE COURRIER DE GUADELOUPE,,,28610.0,,,,,28610.0
LA CROIX CAMPUS,,,,,,16742.0,11678.0,28420.0
LES SABLES - Vendée journal,10511.0,,,,9623.0,,8259.0,28393.0
LE COURRIER INDEPENDANT,4509.0,3898.0,4143.0,4053.0,3795.0,3800.0,3938.0,28136.0
LA VIE CORREZIENNE,4458.0,4804.0,3671.0,3654.0,3653.0,3827.0,4045.0,28112.0
LA GAZETTE DU VAL D'OISE,3008.0,,2422.0,2571.0,2707.0,8346.0,9040.0,28094.0
actualitenatureetsociete.com,,,,28000.0,,,,28000.0
Agri Informations 79 / Agri79.fr,,,,,27944.0,,,27944.0
LA SAVOIE,4672.0,4413.0,3671.0,3654.0,3653.0,3827.0,4045.0,27935.0
L'INDEPENDANT DE L'YONNE,4198.0,4450.0,3671.0,4059.0,3653.0,3827.0,4045.0,27903.0
santelog.com,27764.0,,,,,,,27764.0
LA MONTAGNE DES HAUTES PYRENEES,,4734.0,4532.0,4426.0,4397.0,4643.0,4885.0,27617.0
consultor.fr,,,,,,27594.0,,27594.0
L'Anjou Agricole / Anjou-agricole.com,,,,,27529.0,,,27529.0
LA VOIX DU SANCERROIS,4284.0,4166.0,3723.0,3654.0,3653.0,3827.0,4045.0,27352.0
horizons-journal.fr,,,,,27261.0,,,27261.0
LES SABLES VENDEE JOURNAL,,8745.0,9132.0,9194.0,,,,27071.0
L'ECHO DU THELLE,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4711.0,27056.0
iparraldekohitza.eus,,27036.0,,,,,,27036.0
in-corsica.com,,,,27000.0,,,,27000.0
LE COURRIER DE L'EURE,4808.0,3661.0,3754.0,3913.0,3799.0,3538.0,3514.0,26987.0
L'HEBDO DE SEVRE ET MAINE,4155.0,3625.0,3768.0,3833.0,3819.0,3653.0,4030.0,26883.0
94.citoyens.com,,26809.0,,,,,,26809.0
LA VOIX LE BOCAGE,5041.0,,4256.0,4119.0,4444.0,4218.0,4707.0,26785.0
carenews.com,,,,,26743.0,,,26743.0
LA LIBERTE LE BONHOMME LIBRE / libertebonhomme.fr,,26700.0,,,,,,26700.0
booksa-P.com,,26684.0,,,,,,26684.0
LE PATRIOTE BEAUJOLAIS VAL DE SAONE,,,6164.0,5726.0,5293.0,5105.0,4196.0,26484.0
L'AFFRANCHI DE CHAUMONT,3674.0,3866.0,3671.0,3654.0,3653.0,3829.0,4045.0,26392.0
LA SEMAINE DE NANCY,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4045.0,26390.0
LE JOURNAL DE LA COTIERE,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4045.0,26390.0
L'HEBDO DE L'ARDECHE,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4045.0,26390.0
LA SEMAINE DU MINERVOIS,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4045.0,26390.0
L'EVEIL HEBDO,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4045.0,26390.0
LE PROGRES SAINT AFFRICAIN,3674.0,3866.0,3671.0,3654.0,3653.0,3827.0,4045.0,26390.0
manip-info.com,,26387.0,,,,,,26387.0
LA PRESSE BISONTINE,,1578.0,5429.0,5310.0,4555.0,5073.0,4404.0,26349.0
LA TRIBUNE,,,,13576.0,12745.0,,,26321.0
LE FAUCIGNY,899.0,3866.0,3671.0,3654.0,,3827.0,9936.0,25853.0
ARCHITECTURES A VIVRE/ avivremagazine.fr,25840.0,,,,,,,25840.0
L'Agriculteur Normand / Agriculteur-normand.com,,,,,25720.0,,,25720.0
LE REPUBLICAIN - Marmande,8910.0,,,,8871.0,,7928.0,25709.0
LE VILLEFRANCHOIS,,,5951.0,5329.0,4949.0,4615.0,4676.0,25520.0
lachroniquebtp.com,,,,,25378.0,,,25378.0
LE PAYS GESSIEN,5646.0,,4360.0,3842.0,3653.0,3827.0,4045.0,25373.0
LE TARN LIBRE / letarnlibre.com,,,,,25164.0,,,25164.0
LES INFORMATIONS DIEPPOISES / lesinformationsdieppoises.fr,,25151.0,,,,,,25151.0
LE DEMOCRATE VERNONNAIS,4755.0,4062.0,,4075.0,4071.0,4189.0,3903.0,25055.0
L'UNION DU CANTAL,,,5855.0,5582.0,5593.0,5926.0,2069.0,25025.0
kariculture.net,,,,,25000.0,,,25000.0
L'ECHO LE REGIONAL,2440.0,,2416.0,2571.0,2707.0,7114.0,7688.0,24936.0
LA SEMAINE METZ THIONVILLE MOSELLE,4339.0,,3671.0,3654.0,4479.0,4512.0,4045.0,24700.0
PONTIVY JOURNAL,5116.0,4327.0,4227.0,3929.0,3455.0,3631.0,,24685.0
MEDIABASK,,4152.0,3995.0,3953.0,3916.0,4159.0,4491.0,24666.0
FACE AU RISQUE,,,,24600.0,,,,24600.0
LE FAUCIGNY / Lefaucigny.fr,,,,,24369.0,,,24369.0
LE MATERIEL AGRICOLE / materielagricole.info,24291.0,,,,,,,24291.0
ACTU NC,,,,19095.0,5151.0,,,24246.0
LE PETIT QUOTIDIEN / lepetitquotidien.fr,,,,,24028.0,,,24028.0
AIR ET COSMOS,23925.0,,,,,,,23925.0
financierterritorial.fr,,,,,,23878.0,,23878.0
LE REGIONAL DE COSNE ET DU CHARITOIS,,,,6111.0,5826.0,5989.0,5869.0,23795.0
L'ECHO D'ANCENIS ET DU VIGNOBLE,,6511.0,5852.0,5788.0,5624.0,,,23775.0
cieletespace.fr,,,,,,,23653.0,23653.0
LIBERTE LE BONHOMME LIBRE,,,,,,11287.0,12336.0,23623.0
GESTION ET FINANCES PUBLIQUES / gfpnumerique.com,23535.0,,,,,,,23535.0
LE JOURNAL DU MEDOC,4941.0,5179.0,4527.0,,4418.0,4434.0,,23499.0
LUTTE DE CLASSE,,4109.0,3653.0,3923.0,3943.0,3828.0,3948.0,23404.0
L'IMPARTIAL DES ANDELYS / limpartial-andelys.fr,,23383.0,,,,,,23383.0
rapportsdeforce.fr,,,,,,21000.0,2345.0,23345.0
cometmedias.com,,,,,,23321.0,,23321.0
L'ORNE COMBATTANTE / lornecombattante.fr,,23321.0,,,,,,23321.0
LE JOURNAL DU PAYS MALOUIN,,23023.0,,,,,,23023.0
LE RESISTANT DE LIBOURNE,11554.0,11276.0,,,,,,22830.0
L'ECHO D'ILE DE FRANCE,4582.0,4751.0,4505.0,,4373.0,4616.0,,22827.0
egora.fr,,22820.0,,,,,,22820.0
materielagricole.info,,,,,,22798.0,,22798.0
