Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
LE DAUPHINÉ LIBÉRÉ,,1170950.0,,,,,,1170950.0
CHARLIE HEBDO,,,281604.0,284802.0,,293804.0,304098.0,1164308.0
LE UN,117577.0,,,238149.0,248184.0,240906.0,303323.0,1148139.0
LE COURRIER PICARD,205875.0,185288.0,166759.0,170686.0,133034.0,146253.0,129012.0,1136907.0
L’EQUIPE,,1134433.0,,,,,,1134433.0
LE POPULAIRE DU CENTRE,66818.0,293271.0,246722.0,,240563.0,,285132.0,1132506.0
VAR MATIN,145625.0,,466625.0,124176.0,118291.0,130045.0,140207.0,1124969.0
POLITIS,151526.0,109221.0,167879.0,160340.0,153758.0,151423.0,225112.0,1119259.0
LE BERRY REPUBLICAIN,122685.0,,190067.0,194543.0,185323.0,203739.0,219659.0,1116016.0
LA REPUBLIQUE DU CENTRE,124506.0,,188295.0,192730.0,183596.0,201839.0,217610.0,1108576.0
LE PETIT BLEU D'AGEN,,,,283993.0,233673.0,256038.0,275343.0,1049047.0
LA RÉPUBLIQUE DES PYRÉNÉES,,1017849.0,,,,,,1017849.0
LE PROGRES / LES DEPECHES EDITION DU JURA / LA TRIBUNE,1017003.0,,,,,,,1017003.0
PRESENT,242364.0,218128.0,157562.0,141806.0,,130323.0,103021.0,993204.0
VOSGES MATIN,214955.0,193460.0,174114.0,145812.0,,124939.0,134702.0,987982.0
L'EXPRESS,,,,,82078.0,90234.0,811024.0,983336.0
L'EQUIPE - L'EQUIPE MAGAZINE,,,,,,,980805.0,980805.0
planet.fr,,292971.0,,,408166.0,,267994.0,969131.0
LES ECHOS / lesechos.fr,955929.0,,,,,,,955929.0
LE PROGRÈS - LES DEPECHES - LA TRIBUNE,,915303.0,,,,,,915303.0
L'ECHO REPUBLICAIN,224934.0,,182197.0,152581.0,118922.0,106968.0,94358.0,879960.0
PELERIN,,,281604.0,284802.0,290775.0,,,857181.0
LE POINT / lepoint.fr,,855302.0,,,,,,855302.0
LE TELEGRAMME / Letelegramme.fr,,,,,838007.0,,,838007.0
LE PROGRES / leprogres.fr,,,,,823431.0,,,823431.0
LES NOUVELLES CALEDONIENNES / lnc.nc,,,,,,373979.0,441873.0,815852.0
LE PETIT BLEU DE LOT ET GARONNE,248123.0,277707.0,279823.0,,,,,805653.0
LE TELEGRAMME / letelegramme.com,800454.0,,,,,,,800454.0
JEUNE AFRIQUE,220004.0,162644.0,415204.0,,,,,797852.0
JEUNE AFRIQUE / jeuneafrique.com,,,,,,796433.0,,796433.0
L'ALSACE,214373.0,,173642.0,145417.0,,124600.0,134336.0,792368.0
L’EST RÉPUBLICAIN,,789834.0,,,,,,789834.0
MIDI LIBRE,,767005.0,,,,,,767005.0
contexte.com,,191488.0,313690.0,,257098.0,,,762276.0
LE JOURNAL DU CENTRE,38791.0,94836.0,117615.0,119453.0,112778.0,123073.0,128265.0,734811.0
LA DORDOGNE LIBRE,93553.0,94876.0,101758.0,104170.0,98268.0,105894.0,120740.0,719259.0
LE QUOTIDIEN DE LA REUNION ET DE L'OCEAN INDIEN,,,43641.0,44669.0,42552.0,46780.0,530363.0,708005.0
L’ÉCHO DE LA HAUTE VIENNE,,707218.0,,,,,,707218.0
LE JOURNAL DU DIMANCHE,163824.0,,139223.0,116593.0,90872.0,81738.0,72102.0,664352.0
L’EXPRESS / lexpress.fr,,661285.0,,,,,,661285.0
LA DÉPÊCHE DU MIDI / ladepeche.fr,,648632.0,,,,,,648632.0
NOUVELLE REPUBLIQUE DU CENTRE OUEST,,,,,,,644562.0,644562.0
L'UNION - L'ARDENNAIS,,,118888.0,121688.0,115921.0,127440.0,137398.0,621335.0
PARIS-MATCH,,,,,,325732.0,287333.0,613065.0
CAUSETTE,,143090.0,122443.0,108917.0,90826.0,81177.0,64871.0,611324.0
L'EST ECLAIR,136441.0,,,138258.0,107760.0,118467.0,104501.0,605427.0
L'EST REPUBLICAIN / estrepublicain.fr,,,,,604042.0,,,604042.0
L'EQUIPE / L'EQUIPE MAGAZINE,,,,,,599426.0,,599426.0
LE JOURNAL DE SAONE ET LOIRE,96747.0,,95779.0,98035.0,93388.0,102668.0,110691.0,597308.0
1 JOUR 1 ACTU,49997.0,102792.0,127125.0,144250.0,157502.0,,,581666.0
20 Minutes / 20minutes.fr,,,,,,,577914.0,577914.0
PARIS-MATCH / parismatch.com,,559758.0,,,,,,559758.0
AUJOURD'HUI EN FRANCE,153860.0,138474.0,124627.0,,,73169.0,64543.0,554673.0
LA NOUVELLE REPUBLIQUE DU CENTRE OUEST / lanouvellerepublique.fr,,,,542971.0,,,,542971.0
LES NOUVELLES CALEDONIENNES,159040.0,143136.0,128822.0,107882.0,,,,538880.0
L'YONNE REPUBLICAINE,102514.0,,83037.0,84993.0,80964.0,89010.0,95965.0,536483.0
forbesfrance.fr,,535277.0,,,,,,535277.0
PHILOSOPHIE MAGAZINE,,106675.0,100314.0,92760.0,78377.0,80897.0,74743.0,533766.0
POPULAIRE DU CENTRE,,,,252532.0,,264467.0,,516999.0
LA MANCHE LIBRE,36738.0,38662.0,118415.0,203075.0,36530.0,38271.0,40438.0,512129.0
L'EXPRESS / lexpress.fr,373308.0,,,128043.0,,,,501351.0
LA CHARENTE LIBRE,67507.0,60756.0,66832.0,68407.0,147144.0,47957.0,42303.0,500906.0
LE TELEGRAMME LE TELEGRAMME DIMANCHE,,,,499598.0,,,,499598.0
LA MARSEILLAISE / Lamarseillaise.fr,,,,,473981.0,,,473981.0
LA NOUVELLE RÉPUBLIQUE DU CENTRE OUEST,,473700.0,,,,,,473700.0
TETU / tetu.com,,,,,,,472366.0,472366.0
LES INROCKUPTIBLES / lesinrocks.com,,,,,,464393.0,,464393.0
LE POINT / Lepoint.fr,,,,,457003.0,,,457003.0
LA DEPECHE DU MIDI / ladepeche.fr,,,,,456766.0,,,456766.0
CHARLIE HEBDO / charliehebdo.fr,,,,,455942.0,,,455942.0
LE BIEN PUBLIC,57112.0,62891.0,76167.0,77961.0,,81646.0,88026.0,443803.0
LE JOURNAL DE L'ILE DE LA REUNION,8356.0,,,,,0.0,429012.0,437368.0
